intent,text
query_heart_rate,"what was my heart rate yesterday"
query_heart_rate,"can you show me my heart rate data from yesterday"
query_heart_rate,"what was my pulse yesterday"
query_heart_rate,"show my bpm data from yesterday"
query_heart_rate,"give me a summary of my heart health over the last day"
query_heart_rate,"how did my heart rate fluctuate yesterday"
query_heart_rate,"id like to see my average heart rate for the past day"
query_heart_rate,"did my heart rate go up or down yesterday"
query_heart_rate,"show me a graph of yesterday's bpm"
query_heart_rate,"can you pull up my heart rate from yesterday"
query_heart_rate,"what is my current heart rate"
query_heart_rate,"whats my heart rate right now"
query_heart_rate,"can you tell me my pulse at this moment"
query_heart_rate,"i want to know my heart rate in real time"
query_heart_rate,"check my heart rate instantly"
query_heart_rate,"give me an immediate reading of my heart rate"
query_heart_rate,"whats my bpm at this very moment"
query_heart_rate,"show me my heart rate now"
query_heart_rate,"can you do a quick heart rate check"
query_heart_rate,"what does my heart rate monitor say"
query_heart_rate,"how has my heart rate changed this week"
query_heart_rate,"whats the weekly trend for my heart rate"
query_heart_rate,"show me how my heart rate has fluctuated over the last seven days"
query_heart_rate,"can you give me a summary of my heart rate trends this week"
query_heart_rate,"how does my current heart rate compare to the weekly average"
query_heart_rate,"id like to see my heart rate trends for this week"
query_heart_rate,"has my heart rate been stable or changing this week"
query_heart_rate,"give me a graph of my heart rate changes over the week"
query_heart_rate,"what is a normal resting heart rate"
query_heart_rate,"whats considered a normal resting bpm for my age"
query_heart_rate,"what is a healthy heart rate"
query_heart_rate,"how should i interpret my resting heart rate"
query_heart_rate,"whats the standard range for a resting heart rate"
query_heart_rate,"can you tell me whats a typical heart rate for an adult"
query_heart_rate,"what is the normal resting heart rate for a healthy person"
query_heart_rate,"whats the ideal resting heart rate range"
query_heart_rate,"how does one define a normal resting heart rate"
query_heart_rate,"whats the acceptable range for a resting heart rate"
query_heart_rate,"is my resting heart rate normal"
query_heart_rate,"how has my walkpulse changed this week"
query_heart_rate,"show me my walkpulse trend over the past 7 days"
query_heart_rate,"compare my heart health today with yesterday"
query_heart_rate,"whats my bpm trend for the week"
query_heart_rate,"give me an overview of my heart health this week"
query_heart_rate,"check my pulse in real time"
query_heart_rate,"how has my bpm varied over the past week"
query_heart_rate,"show me my current heart zone"
query_heart_rate,"am i in my peak heart rate zone"
query_heart_rate,"what is my current pulse reading"
query_heart_rate,"give me an update on my heart rate trends"
query_heart_rate,"compare todays heart rate to my weekly average"
query_heart_rate,"whats a safe heart rate for cardio exercise"
query_heart_rate,"how is my heart rate recovery right now"
query_heart_rate,"compare my current bpm to last weeks average"
query_heart_rate,"show me my max heart rate during last workout"
query_heart_rate,"what was my average bpm in the last month"
query_heart_rate,"my resting heart rate from last week"
query_heart_rate,"what is my heart rate right now"
query_heart_rate,"whats my live heart rate"
query_heart_rate,"show my current bpm"
query_heart_rate,"check my heart health now"
query_heart_rate,"what is a normal bpm for my age"
query_heart_rate,"how is my average heart rate trending this month"
query_heart_rate,"compare my heart rate today to yesterday"
query_heart_rate,"what was my peak heart rate during last run"
query_heart_rate,"give me a graph of my bpm trends"
query_heart_rate,"show me my resting heart rate over the last week"
query_heart_rate,"am i in my target heart rate zone"
query_heart_rate,"whats my current bpm reading"
query_heart_rate,"compare my heart rate to my fat burn zone"
query_heart_rate,"how is my heart rate today vs last week"
query_heart_rate,"show me my average resting heart rate this week"
query_heart_rate,"whats a healthy heart rate for exercise"
query_heart_rate,"check my heart pulse now"
query_heart_rate,"how has my bpm changed during cardio"
query_heart_rate,"compare my walkpulse from this morning to yesterday evening"
query_heart_rate,"show me a graph of my heart rate zones"
query_heart_rate,"what is my highest heart rate today"
query_heart_rate,"my average heart rate trend this month"
query_heart_rate,"how does my current heart rate compare to my previous run"
query_heart_rate,"show my bpm trend for the last 7 days"
query_heart_rate,"how is my heart rate recovery trending"
query_heart_rate,"compare my current heart rate to last months average"
query_heart_rate,"show me a summary of my heart rate for this week"
query_heart_rate,"what is my live heart rate reading"
query_heart_rate,"am i in a good heart rate zone"
query_heart_rate,"how does my heart rate compare to last week"
query_heart_rate,"show my heart health trends over the last month"
query_heart_rate,"compare my current bpm to my average bpm"
query_heart_rate,"what was my heart rate at 3 pm yesterday"
query_heart_rate,"how did my heart rate change during cardio"
query_heart_rate,"show me my average heart rate during last workout"
query_heart_rate,"what is my safe bpm for exercise"
query_heart_rate,"check my heart rate trends"
query_heart_rate,"whats my pulse trend this week"
query_heart_rate,"show me bpm data from last 7 days"
query_heart_rate,"compare my heart health today to my weekly average"
query_heart_rate,"how has my average resting heart rate changed this year"
query_heart_rate,"what is a good resting heart rate"
query_heart_rate,"compare my heart rate today to my fat burn zone"
query_heart_rate,"show me my walkpulse score now"
query_heart_rate,"whats my live pulse now"
query_heart_rate,"compare my current bpm to yesterday at the same time"
query_heart_rate,"show me a graph of my walkpulse trends"
query_heart_rate,"how does my heart rate compare to my target zone"
query_heart_rate,"check my current pulse reading"
query_heart_rate,"show me my bpm for the last 24 hours"
query_heart_rate,"whats my heart rate during this cardio session"
query_heart_rate,"compare my heart health today to last week"
query_heart_rate,"show me my peak heart rate from last week"
query_heart_rate,"what is my current heart rate zone"
query_heart_rate,"compare my current heart rate to last workout"
query_steps,"show me my steps from last week"
query_steps,"how many steps did i take last week"
query_steps,"show my step count from the last week"
query_steps,"can you provide a weekly summary of my steps"
query_steps,"what was my average daily step count last week"
query_steps,"give me a breakdown of my steps for each day of the past week"
query_steps,"how did my steps last week compare to the week before"
query_steps,"i want to see my step data for the last seven days"
query_steps,"show me my steps from a week ago"
